Ratings,Review
5,Awesome classy phone everything is good ...value for money... But camera needs to more improve by updateREAD MORE
5,Im having a great experience with this better charging progress and Long life battery and a amazing camera performance i personally loved this mobile phone and also a best gaming experience i hope u also like this phone #poco x 4 pro 5gREAD MORE
5,Poco has made its hard phone camera quality is awesome . Yellow color phone super it's shinning back . I played bmi game it worked very well . The charging . It ccharges in just 40 minutes . Awesome in this price you can buy this. The dual stereo speakers hearing music and watching movies is super.READ MORE
5,"Camera is not as great as poco x3 pro, but it is great, selfie cam is awesome. Battery is very good, and charge is super fast. All over great buyREAD MORE"
4,"Received the phone today. Thanks to Flipkart was super fast delivery. Ordered the yellow colour for my mom because it appeared classy. Inside the box, we had the phone, adaptor, case and original bill.  Well, i have two things to say. Yes, the handset actually looks good to the eyes and feels premium in hand. Battery is very good. I could see the phone charging up to 100% within 30 minutes and i used the phone throughout the day and it's still on 51%. Camera is Decent enough to make you cap...READ MORE"
4,Although it is a alrounder 5G phone in specs but the camera quality didn't satisfied me even not a decent 64 MP sensor peromance slow down due to the processor battery life is better and with 67 vault its a nice combination and the best part of the phone is its display i liked the display very much because its has 1200 nits peak brightness with 120htz refresh rate and 360 touch sampling its a best super amoled dispaly phone you can go for this if you can compromise with camera otherwise if wa...READ MORE
3,"Specifications are only great on papers, 64mp camera doesn't fill like 64mp at all ... Work like 12mp camera. Performance is just OK, display also just above average and doesn't fill like 120hz refresh rate. Very average phone for this price. So OK you can go for it but not really value for money phone or as you expect a POCO phone.READ MORE"
5,"Guys this is the best true amoled display other makers are fooling people's telling amoled but this is real amoled colors are punchy and display is bright enough just go for this multimedia, gaming purpose it's a treat... I never posted reviews in my life this is the first time.. Touch responsive is super... But one thing go for 128gb variant instead of 64 because os took 20gb remaining only 40 gb available. Thank youREAD MORE"
3,"Camera is very bad , even a 12000 phone has a better camera tha this device  4k is not supported  for multimedia not even in  video recording thats the downgrade  Pros:-.   Battery is good  Fast charging is fine  Display is niceREAD MORE"
5,"The phone is value for money.The display is in league above the rest in this range.Processor is also good for the price range.2 seperate speakers and it gets loud and clear no distortion at high volume.Charging time is great even when compared to flagship phones.The only con for the phone is camera. It's really low quality even in this range.If your not into photography this is the best phone in the range, but if you prioritise camera this phone is not for you.READ MORE"
4,Camera is fine.. But gamer it's little in comfortable because of head set 3.5 jack given top of the phone so while playing it distrub. Wireless is fine. Battery average. Display good in 120 hetz.READ MORE
3,Camera is very bad in this price segment. Realme cameras are much betterDisplay and sound quality is awesome.Performance is good but I felt like I was not getting 60 fps in cod mobile. There is also ram management issue. Battery is good. 67 watt charger does it work. But if use in 120 fps battery drops quite fastREAD MORE
5,Stunning looks and performance was good decent sound quality only one con please improve cam optionsREAD MORE
4,"Phone's best part is its  body finish,stereo speakers and display...Phone fails to keep its promise of 60w fast charging,on average it takes one hour plus to charge upto 100 percent.Camera is average.Needs software fixes..Phone has two gigs of extended ram or virtual ram that makes it 8 gb ram too at the same time...Go for 128gb as 30 gigs is kept reserved by phones and softwares.Phone is not a bad deal,we can't have everything in our dish.So not disappointed with it as overall but it feel ba...READ MORE"
4,"After 15 days of usage I am writing this review1. excellent battery backup, I am only normal user I won't play games, only phone calls and watching videos. battery is draing only 50%, battery back up is more than 42 hrs for my usage2.camera is also very good, for this price it is not upto the mark but quality is good3. dispaly.  no need to tell about display excellent 4. sound and speakers. after using my phone for 15days I found sound quality is not good,especially for incoming calls sou...READ MORE"
4,I am reviewing after 15 days of usageAnd this was the best smartphone under 20000 compare to others.Pros : Good perfomanceAwesome display with 120 hz refresh rateGood battery backup 67 watts fast charging it's charge 0 to 100% under 45-50 minutesGood design & good speakersCons : Camera is average & the vibration is very lightSome bugs are there so this are the pros & consREAD MORE
5,This phone  gives nearly all- features 8n a good tight budgetAlthough I am not happy with the camera of the phone the picture needed to be more clean thoughAndi I don't know why but it only give antutu score of 2.7-2.8 lakhs.  ( But 695 is good processor so it should have give atleast 3.7-4.1 lakhs)READ MORE
4,"If you are searching for all rounder phone then go for it. I am giving the review after using for a week. Pros-Looks is just awesome. Samoled touch is like a butter. 120hz refresh rate does its work well, can be changed to 60hz when travelling as 120hz refresh rate consume battery. Gaming experience is just awesome, played battleground without any lagging. Overall charge goes for 1 day without heavy use and with heavy use half day. Cons-Camera quality is almost same like redmi note ...READ MORE"
5,I liked the phone it's awesome performance is too good and battery back is absolutely good as well as it's supports fast charge after charging the mobile you can use this at least 2days continuously camera is perfect for taking pictures best mobile I can refer and it's a budget phone which we can buy easilyREAD MORE
5,"All rounder smartphone and decent performance but you cant expect that kind of camera performance of poco x3. Still great option in this price segment as 67 watt charger in the box, super amoled display., and Snapdragon 695 5g processor.READ MORE"
3,"Released with less specification than expected like instead of 108MP, its with 64MP.Processor could have been on higher side instead of Snapdragon 695, it could have been 7xx, 8xx.Pros:Camera quality is still good in light, not great in dark though but fine enough.Due to 120HZ refresh rate, touch responses are pretty quick.Lookwise premium look.Feels somewhat bulky and heavy a bit.Charging is faster due to high Watt charger support, with heavy usage full charging lasts for more than a...READ MORE"
5,Im having a great experience with this better charging progress and Long life battery and a amazing camera performance i personally loved this mobile phone and also a best gaming experience i hope u also like this phone #poco x 4 pro 5gREAD MORE
3,Display is looking good Battery backup is avarage its work up 6 hrs 100 to 30 % charaging time also not expected like this much time taking long time to charge poco announced 67 watts charger but its equal time taking with 33 watts charger meawhile its a 33 watts charging support About performance is ok Sound dolby atmos support its a good thing any way mobile is avarage not too good its ok at this price in this movementREAD MORE
5,"Nice phone in this price range. Battery, charger, display, performance all are best in this segment. Outdoor photo is also good. It's best phone under 20k.READ MORE"
3,"This phone is a mid-range performance based device, with great display, good speakers, 3.5 mm audio jack (a necessity for any audiophile), and good battery backup.The camera module is just pathetic to say the least.I'm not into gaming so won't be discussing gaming in this review at all. Performance wise, multitasking is great, aggressive RAM management can be turned on and off for apps, so, one can keep apps in volatile memory according to one's needs. Speakers and 3.5 mm audio jack are g...READ MORE"
4,My honest review after 10 days => Back design is awesome but camera back is bulky=> Display is very nice => good processor but not much good for gamers if you are gamer don't buy this one => Camera is good but less than my expectations=> Case quality is brilliant => Other features are also nice => charger is very fast (67W) as In starting it can charge phone fully around 40min but after a week of usage it may take 1hour as other smartphone do Overall:If you are gamer than don't buy t...READ MORE
5,1. Good display and refresh rate.2. Sound is moderate.3. The camera quality is good.4. Worth for money.Over all a good phone.READ MORE
5,Nice display. Long battery life with fast charging.  64MP camera giving superb photos and videos. Superb product at this price range with stereo speakers. I hope poco  will give more advanced featured phone with reasonable price in future. Android 12 should follow early to keep it up to dateREAD MORE
